Timestamp_ms, Gyro_X_dps, Gyro_Y_dps, Gyro_Z_dps, Mag_X_uT, Mag_Y_uT, Mag_Z_uT, Temperature_C
1774480211034,-1.032774,0.651677,0.350610,0.000000,0.000000,0.000000,0.000000
1774480212034,-1.013720,0.628811,0.320122,0.000000,0.000000,0.000000,0.000000
1774480213034,-1.009909,0.628811,0.350610,0.000000,0.000000,0.000000,0.000000
1774480214034,-1.032774,0.651677,0.342988,0.000000,0.000000,0.000000,0.000000
1774480215034,-1.017531,0.644055,0.316311,0.000000,0.000000,0.000000,0.000000
1774480216034,-1.021341,0.655488,0.342988,0.000000,0.000000,0.000000,0.000000
1774480217035,-1.028963,0.655488,0.327744,0.000000,0.000000,0.000000,0.000000
1774480218035,-1.017531,0.655488,0.373476,0.000000,0.000000,0.000000,0.000000
1774480219035,-1.017531,0.636433,0.323933,0.000000,0.000000,0.000000,0.000000
1774480220035,-1.017531,0.663110,0.365854,0.000000,0.000000,0.000000,0.000000
1774480221035,-0.990854,0.655488,0.339177,0.000000,0.000000,0.000000,0.000000
1774480222035,-1.013720,0.632622,0.327744,0.000000,0.000000,0.000000,0.000000
1774480223035,-1.009909,0.659299,0.312500,0.000000,0.000000,0.000000,0.000000
1774480224035,-0.983232,0.636433,0.342988,0.000000,0.000000,0.000000,0.000000
1774480225035,-0.975610,0.640244,0.331555,0.000000,0.000000,0.000000,0.000000
1774480226035,-1.021341,0.659299,0.335366,0.000000,0.000000,0.000000,0.000000
1774480227036,-1.009909,0.651677,0.331555,0.000000,0.000000,0.000000,0.000000
1774480228036,-1.013720,0.659299,0.354421,0.000000,0.000000,0.000000,0.000000
1774480229036,-0.983232,0.636433,0.331555,0.000000,0.000000,0.000000,0.000000
1774480230036,-1.013720,0.647866,0.350610,0.000000,0.000000,0.000000,0.000000
1774480231036,-0.994665,0.651677,0.301067,0.000000,0.000000,0.000000,0.000000
1774480232036,-1.021341,0.632622,0.323933,0.000000,0.000000,0.000000,0.000000
1774480233036,-0.994665,0.647866,0.342988,0.000000,0.000000,0.000000,0.000000
1774480234036,-1.009909,0.651677,0.339177,0.000000,0.000000,0.000000,0.000000
1774480235037,-0.967988,0.644055,0.331555,0.000000,0.000000,0.000000,0.000000
1774480236037,-1.013720,0.640244,0.335366,0.000000,0.000000,0.000000,0.000000
1774480237037,-1.032774,0.647866,0.335366,0.000000,0.000000,0.000000,0.000000
1774480238037,-1.017531,0.655488,0.316311,0.000000,0.000000,0.000000,0.000000
1774480239037,-0.994665,0.621189,0.362043,0.000000,0.000000,0.000000,0.000000
1774480240037,-0.990854,0.644055,0.331555,0.000000,0.000000,0.000000,0.000000
1774480241037,-0.998476,0.663110,0.350610,0.000000,0.000000,0.000000,0.000000
1774480242037,-1.017531,0.663110,0.327744,0.000000,0.000000,0.000000,0.000000
1774480243037,-1.006098,0.644055,0.327744,0.000000,0.000000,0.000000,0.000000
1774480244037,-1.002287,0.647866,0.346799,0.000000,0.000000,0.000000,0.000000
1774480245038,-0.990854,0.655488,0.346799,0.000000,0.000000,0.000000,0.000000
1774480246038,-0.998476,0.640244,0.339177,0.000000,0.000000,0.000000,0.000000
1774480247038,-1.009909,0.640244,0.342988,0.000000,0.000000,0.000000,0.000000
1774480248038,-1.025152,0.647866,0.327744,0.000000,0.000000,0.000000,0.000000
1774480249038,-1.009909,0.655488,0.342988,0.000000,0.000000,0.000000,0.000000
1774480250038,-1.013720,0.647866,0.331555,0.000000,0.000000,0.000000,0.000000
1774480251038,-1.025152,0.640244,0.327744,0.000000,0.000000,0.000000,0.000000
1774480252038,-1.032774,0.666921,0.335366,0.000000,0.000000,0.000000,0.000000
1774480253038,-1.032774,0.647866,0.335366,0.000000,0.000000,0.000000,0.000000
1774480254038,-0.998476,0.647866,0.346799,0.000000,0.000000,0.000000,0.000000
1774480255039,-1.013720,0.621189,0.339177,0.000000,0.000000,0.000000,0.000000
1774480256039,-1.021341,0.647866,0.335366,0.000000,0.000000,0.000000,0.000000
1774480257039,-1.025152,0.651677,0.323933,0.000000,0.000000,0.000000,0.000000
1774480258039,-1.021341,0.628811,0.339177,0.000000,0.000000,0.000000,0.000000
1774480259039,-1.025152,0.651677,0.331555,0.000000,0.000000,0.000000,0.000000
1774480260039,-1.025152,0.666921,0.362043,0.000000,0.000000,0.000000,0.000000
1774480261039,-1.032774,0.655488,0.342988,0.000000,0.000000,0.000000,0.000000
1774480262040,-1.025152,0.655488,0.346799,0.000000,0.000000,0.000000,0.000000
1774480263040,-1.025152,0.659299,0.331555,0.000000,0.000000,0.000000,0.000000
1774480264040,-1.002287,0.659299,0.335366,0.000000,0.000000,0.000000,0.000000
1774480265040,-0.998476,0.651677,0.320122,0.000000,0.000000,0.000000,0.000000
1774480266040,-1.032774,0.655488,0.339177,0.000000,0.000000,0.000000,0.000000
1774480267040,-1.028963,0.640244,0.323933,0.000000,0.000000,0.000000,0.000000
1774480268040,-1.006098,0.640244,0.339177,0.000000,0.000000,0.000000,0.000000
1774480269040,-1.017531,0.644055,0.331555,0.000000,0.000000,0.000000,0.000000
1774480270041,-1.025152,0.647866,0.339177,0.000000,0.000000,0.000000,0.000000
1774480271041,-1.025152,0.651677,0.342988,0.000000,0.000000,0.000000,0.000000
1774480272041,-1.013720,0.632622,0.346799,0.000000,0.000000,0.000000,0.000000
1774480273041,-1.017531,0.640244,0.339177,0.000000,0.000000,0.000000,0.000000
1774480274042,-1.021341,0.632622,0.335366,0.000000,0.000000,0.000000,0.000000
1774480275042,-1.055640,0.636433,0.342988,0.000000,0.000000,0.000000,0.000000
1774480276042,-1.002287,0.632622,0.323933,0.000000,0.000000,0.000000,0.000000
1774480277042,-1.025152,0.655488,0.339177,0.000000,0.000000,0.000000,0.000000
1774480278042,-1.021341,0.651677,0.323933,0.000000,0.000000,0.000000,0.000000
1774480279042,-1.013720,0.636433,0.339177,0.000000,0.000000,0.000000,0.000000
1774480280042,-1.006098,0.640244,0.323933,0.000000,0.000000,0.000000,0.000000
1774480281042,-1.028963,0.666921,0.331555,0.000000,0.000000,0.000000,0.000000
1774480282043,-1.009909,0.670732,0.327744,0.000000,0.000000,0.000000,0.000000
1774480283043,-1.036585,0.670732,0.362043,0.000000,0.000000,0.000000,0.000000
1774480284043,-1.032774,0.659299,0.327744,0.000000,0.000000,0.000000,0.000000
1774480285043,-1.017531,0.655488,0.327744,0.000000,0.000000,0.000000,0.000000
1774480286043,-1.028963,0.640244,0.320122,0.000000,0.000000,0.000000,0.000000
1774480287044,-1.055640,0.655488,0.339177,0.000000,0.000000,0.000000,0.000000
1774480288044,-1.017531,0.647866,0.346799,0.000000,0.000000,0.000000,0.000000
1774480289044,-0.990854,0.659299,0.354421,0.000000,0.000000,0.000000,0.000000
1774480290044,-1.006098,0.644055,0.331555,0.000000,0.000000,0.000000,0.000000
1774480291044,-1.017531,0.659299,0.331555,0.000000,0.000000,0.000000,0.000000
1774480292045,-1.036585,0.659299,0.335366,0.000000,0.000000,0.000000,0.000000
1774480293045,-0.998476,0.625000,0.327744,0.000000,0.000000,0.000000,0.000000
1774480294045,-0.987043,0.644055,0.339177,0.000000,0.000000,0.000000,0.000000
1774480295045,-0.998476,0.651677,0.312500,0.000000,0.000000,0.000000,0.000000
1774480296045,-1.017531,0.647866,0.323933,0.000000,0.000000,0.000000,0.000000
1774480297045,-1.044207,0.655488,0.323933,0.000000,0.000000,0.000000,0.000000
1774480298045,-1.032774,0.651677,0.335366,0.000000,0.000000,0.000000,0.000000
1774480299046,-1.063262,0.640244,0.327744,0.000000,0.000000,0.000000,0.000000
1774480300046,-1.017531,0.644055,0.339177,0.000000,0.000000,0.000000,0.000000
1774480301046,-1.032774,0.651677,0.350610,0.000000,0.000000,0.000000,0.000000
1774480302046,-1.002287,0.640244,0.342988,0.000000,0.000000,0.000000,0.000000
1774480303046,-1.021341,0.632622,0.316311,0.000000,0.000000,0.000000,0.000000
1774480304046,-1.017531,0.651677,0.339177,0.000000,0.000000,0.000000,0.000000
1774480305046,-1.006098,0.651677,0.323933,0.000000,0.000000,0.000000,0.000000
1774480306046,-1.025152,0.647866,0.312500,0.000000,0.000000,0.000000,0.000000
1774480307047,-1.040396,0.621189,0.331555,0.000000,0.000000,0.000000,0.000000
1774480308047,-0.990854,0.651677,0.339177,0.000000,0.000000,0.000000,0.000000
1774480309047,-1.025152,0.636433,0.339177,0.000000,0.000000,0.000000,0.000000
1774480310047,-1.009909,0.640244,0.327744,0.000000,0.000000,0.000000,0.000000
1774480311047,-1.059451,0.666921,0.335366,0.000000,0.000000,0.000000,0.000000
1774480312048,-0.998476,0.655488,0.339177,0.000000,0.000000,0.000000,0.000000
1774480313048,-1.013720,0.640244,0.350610,0.000000,0.000000,0.000000,0.000000
1774480314048,-1.021341,0.651677,0.339177,0.000000,0.000000,0.000000,0.000000
1774480315048,-0.998476,0.651677,0.339177,0.000000,0.000000,0.000000,0.000000
1774480316048,-1.021341,0.644055,0.354421,0.000000,0.000000,0.000000,0.000000
1774480317048,-1.044207,0.674543,0.342988,0.000000,0.000000,0.000000,0.000000
1774480318048,-1.006098,0.651677,0.354421,0.000000,0.000000,0.000000,0.000000
1774480319049,-1.017531,0.632622,0.297256,0.000000,0.000000,0.000000,0.000000
1774480320049,-1.006098,0.651677,0.327744,0.000000,0.000000,0.000000,0.000000
1774480321049,-0.998476,0.651677,0.354421,0.000000,0.000000,0.000000,0.000000
1774480322049,-1.017531,0.647866,0.342988,0.000000,0.000000,0.000000,0.000000
1774480323049,-1.040396,0.647866,0.354421,0.000000,0.000000,0.000000,0.000000
1774480324049,-1.017531,0.659299,0.339177,0.000000,0.000000,0.000000,0.000000
1774480325049,-1.032774,0.647866,0.346799,0.000000,0.000000,0.000000,0.000000
1774480326049,-1.013720,0.636433,0.320122,0.000000,0.000000,0.000000,0.000000
1774480327050,-1.002287,0.651677,0.339177,0.000000,0.000000,0.000000,0.000000
